                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                 2.5908,                 1.7961,                 1.8893,                0.82806,                0.28846,                0.31432,                0.14268,                 2.8897,                 2.5148,                 2.4554,             0.00029723,             0.00029723,             0.00029723
                     86,                 2.5361,                 1.8499,                 1.9286,                0.83723,                0.23932,                0.28923,                0.12905,                 2.8743,                 2.5509,                 2.4508,             0.00028072,             0.00028072,             0.00028072
                     87,                 2.5248,                 1.8961,                 1.9052,                0.83893,                0.23077,                0.27411,                0.10688,                 2.8676,                 2.5382,                  2.447,             0.00026422,             0.00026422,             0.00026422
                     88,                 2.5851,                 1.9444,                 1.9588,                0.92813,                0.22921,                0.26661,                0.09227,                 2.9127,                 2.5066,                 2.4749,             0.00024772,             0.00024772,             0.00024772
                     89,                 2.5133,                 1.8813,                 1.9833,                0.91211,                0.21154,                0.26336,                0.09391,                 2.9755,                 2.4862,                 2.4885,             0.00023121,             0.00023121,             0.00023121
                     90,                  2.618,                  1.958,                 1.9656,                0.91075,                0.21154,                0.26203,                0.09377,                 3.0278,                 2.4859,                 2.5095,             0.00021471,             0.00021471,             0.00021471
                     91,                 2.5625,                 2.0459,                 1.9756,                0.90967,                0.21154,                0.25804,                0.10378,                   3.05,                 2.4777,                 2.5217,             0.00019821,             0.00019821,             0.00019821
                     92,                 2.4766,                 1.9419,                 1.9086,                0.93601,                0.21154,                0.25727,                 0.1102,                 3.0322,                 2.4692,                 2.5155,              0.0001817,              0.0001817,              0.0001817
                     93,                 2.5204,                 1.8967,                 1.9249,                0.93568,                0.21154,                0.25849,                0.11388,                 3.0152,                 2.4745,                 2.5112,              0.0001652,              0.0001652,              0.0001652
                     94,                  2.514,                 1.9221,                 1.8697,                0.93917,                0.21154,                0.26129,                0.12393,                 2.9903,                 2.4735,                 2.4931,              0.0001487,              0.0001487,              0.0001487
                     95,                 2.4905,                 1.9738,                  1.977,                0.94615,                0.21154,                0.26665,                0.12899,                 2.9733,                 2.4716,                 2.4749,             0.00013219,             0.00013219,             0.00013219
                     96,                 2.5773,                 1.9743,                 1.9175,                0.93984,                0.21154,                0.26978,                0.13377,                 2.9447,                 2.4876,                 2.4341,             0.00011569,             0.00011569,             0.00011569
                     97,                 2.4723,                   1.89,                 1.8724,                0.94517,                0.21154,                0.27507,                0.13293,                 2.9289,                 2.4697,                 2.4183,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                 2.5606,                 1.9425,                 1.9263,                0.94587,                0.21154,                0.27932,                0.13374,                 2.9147,                 2.4622,                 2.4073,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                 2.4711,                   1.89,                 1.8883,                0.94262,                0.21154,                0.28257,                0.13643,                 2.9072,                 2.4589,                    2.4,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                 2.4173,                 1.9055,                 1.8831,                0.94078,                0.21154,                0.29175,                0.13789,                  2.888,                  2.441,                 2.3916,             4.9677e-05,             4.9677e-05,             4.9677e-05
